SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.05166,3.1193,0.1666666666666666,6776,5.7,0,5.6
0.05166,3.1193,0.2633333333333333,14081,5.66,0,5.56
0.05166,3.1193,0.14972,3581,5.8,1,5.77
0.05166,3.2024,0.47552,3567,5.77,0,5.9
0.05166,3.2024,0.2043333333333333,14067,5.56,0,5.657
0.05166,3.2024,0.52448,1649,5.92,0,6.0099
0.05166,3.2024,0.3206666666666666,6762,5.6,0,5.75
0.05166,3.3476,0.166,14053,5.657,0,5.95
0.05166,3.3476,0.6636666666666666,3553,5.9,0,6.14
0.05166,3.3476,0.834,6748,5.75,0,6.019
0.05166,3.3476,0.3363333333333333,1635,6.0099,0,6.27
0.050788,3.4354,0.671,14039,5.95,0,6.178
0.050788,3.4354,0.329,6734,6.019,0,6.24
0.050788,3.4354,0.0658,3539,6.14,1,6.258
0.050788,3.4354,0.7201,1621,6.27,0,6.36
0.050788,3.1918,0.277,6699,6.24,0,5.75
0.050788,3.1918,0.1734333333333333,3504,6.258,0,5.88
0.050788,3.1918,0.723,14004,6.178,0,5.74
0.048159,3.1649,0.4039333333333333,3490,5.88,0,5.69
0.048159,3.1649,0.6166666666666667,6685,5.75,0,5.58
0.048159,3.1649,0.5960666666666666,2029,5.97,0,5.7589
0.048159,3.1649,0.3833333333333333,13990,5.74,0,5.55
0.048159,3.1304,0.27172,3476,5.69,0,5.63
0.048159,3.1304,0.72828,2015,5.7589,0,5.7789
0.048159,3.1304,0.6866666666666666,13976,5.55,0,5.389
0.048159,3.1304,0.3133333333333333,6671,5.58,0,5.47
0.048159,3.097,0.11596,3462,5.63,1,5.52
0.048159,3.097,0.0841666666666666,6657,5.47,1,5.2893
0.048159,3.097,0.88404,2001,5.7789,0,5.672
0.048159,3.097,0.9158333333333334,13962,5.389,0,5.1999
0.045513,3.1185,0.1613333333333333,6643,5.2893,0,5.17
0.045513,3.1185,0.68792,1987,5.672,0,5.459
0.045513,3.1185,0.31208,3448,5.52,0,5.36
0.045513,3.1185,0.3406666666666667,13948,5.1999,0,5.11
0.045513,3.0765,0.81064,1973,5.459,0,5.279
0.045513,3.0765,0.538,13934,5.11,0,5.11
0.045513,3.0765,0.462,6629,5.17,0,5.147
0.045513,3.0765,0.18936,3434,5.36,0,5.26
0.045513,3.1231,0.65772,1959,5.279,0,5.26
0.045513,3.1231,0.7333333333333333,6615,5.147,0,5.18
0.045513,3.1231,0.09972,3420,5.26,1,5.26
0.045513,3.1231,0.171,13920,5.11,0,5.129
0.041957,3.0958,0.4166666666666667,13906,5.129,0,5.1399
0.041957,3.0958,0.1022666666666666,3406,5.26,1,5.23
0.041957,3.0958,0.5833333333333334,6601,5.18,0,5.24
0.041957,3.0958,0.8977333333333334,1945,5.26,0,5.2388
0.041957,3.1724,0.1466666666666666,3392,5.23,1,5.35
0.041957,3.1724,0.4823333333333333,6587,5.24,0,5.359
0.041957,3.1724,0.5176666666666667,13892,5.1399,0,5.249
0.041957,3.1724,0.3754666666666666,1931,5.2388,0,5.32
0.041957,3.0924,0.219,6573,5.359,0,5.03
0.041957,3.0924,1.0,3378,5.35,0,5.1
0.041957,3.0924,0.1546666666666666,13878,5.249,0,4.94
0.041957,3.2878,0.0325,1914,5.32,1,6.0
0.041957,3.2878,0.01,3375,5.1,1,5.9
0.041957,3.2863,0.06275,1911,6.0,1,6.0307
0.041957,3.2654,0.00735,1910,6.0307,1,5.88
0.041957,3.2654,0.04025,3371,5.9,1,5.8
0.041957,3.2659,0.5096,3364,5.8,0,5.687
